,Month,GMT,ss,ni,rpi,spi,na,nx,oi,AQI
0,1.1.10,0:00,5,100.9596774,39.10752688,27.37741935,112.3427419,138.7580645,19.16129033,138.7580645
1,1.1.10,1:00,4.516129033,93.27016129,37.62903225,25.65806452,97.11290323,120.4,21.62096774,120.4
2,1.1.10,2:00,4.092741935,86.58870968,34.84408602,24.47096774,87.53225806,107.4096774,24.65725806,107.4096774
3,1.1.10,3:00,4.165322581,84.12903226,34.59139785,23.94193548,85.17741935,103.5612903,25.2016129,103.5612903
4,1.1.10,4:00,4.302419355,85.58064516,33.9516129,23.22903226,91.91935484,110.1064516,23.875,110.1064516
5,1.1.10,5:00,4.745967742,94.37903226,35.25268817,23.9483871,117.7540323,137.8677419,19.71774194,137.8677419
6,1.1.10,6:00,5.608870968,111.2217742,38.01075268,25.48387097,128.116129,191.316129,14.69354839,191.316129
7,1.1.10,7:00,6.528225806,124.3467742,38.74193548,26.91290323,160.2322581,234.0064516,12.61693549,234.0064516
8,1.1.10,8:00,7.012096774,127.0080645,38.90860215,28.57741935,166.6322581,242.5548387,12.78629033,242.5548387
9,1.1.10,9:00,6.97983871,124.375,40.6344086,30.5516129,162.4741935,236.2580645,15.24596774,236.2580645
10,1.1.10,10:00,6.915322581,120.2379032,40.9516129,31.36451613,153.4290323,223.9096774,18.66532258,223.9096774
11,1.1.10,11:00,6.870967742,117.7056452,41.05376343,33.23870968,144.6677419,213.0612903,21.15725806,213.0612903
12,1.1.10,12:00,6.927419355,117.3669355,41.14516128,34.4483871,138.2903226,206.4354839,22.68951613,206.4354839
13,1.1.10,13:00,6.891129033,117.858871,41.38172043,35.39677419,134.6645161,203.1903226,23.02016129,203.1903226
14,1.1.10,14:00,6.870967742,120.0080645,44.06989247,36.45806452,134.7064516,204.9322581,21.91935484,204.9322581
15,1.1.10,15:00,6.75,125.8185484,42.89247312,35.92903226,139.8548387,214.7709677,18.19758065,214.7709677
16,1.1.10,16:00,6.637096774,132.2016129,44.39247312,35.0516129,144.4806452,224.5645161,14.38306451,224.5645161
17,1.1.10,17:00,6.435483871,102.1548387,44.11290323,34.13225806,146.4129032,228.8903226,12.54032258,228.8903226
18,1.1.10,18:00,6.366935484,101.6774194,45.05376343,33.73548387,142.8806452,224.883871,11.99596774,224.883871
19,1.1.10,19:00,6.108870968,131.2822581,45.03225807,33.25806452,133.5387097,212.8516129,11.89919355,212.8516129
20,1.1.10,20:00,5.879032258,123.9677419,44.82795698,32.25806452,117.4612903,190.916129,12.02419355,190.916129
21,1.1.10,21:00,5.786290323,118.8709677,43.55913978,30.99032258,108.6193548,177.9645161,12.50403226,177.9645161
22,1.1.10,22:00,5.47983871,114.8225806,42.90860215,29.42258065,103.8741936,169.9387097,13.76209677,169.9387097
23,1.1.10,23:00,5.028225806,108.6169355,40.65591398,28.30967742,125.3548387,155.3548387,16.63306451,155.3548387
24,1.2.10,0:00,5.098214286,101.2053571,31.10714285,23.13214286,100.9508929,129.7535714,28.19642858,129.7535714
25,1.2.10,1:00,4.486607143,92.80357143,30.17857143,21.87142857,88.39285714,112.9642857,30.85714286,112.9642857
26,1.2.10,2:00,4.446428571,85.50892858,30.16666667,21.10357143,45.93303571,131.5133929,34.66964286,131.5133929
27,1.2.10,3:00,4.428571429,82.61607143,31.67261905,20.73928571,41.625,124.2321429,35.68303571,124.2321429
28,1.2.10,4:00,4.486607143,83.10267858,29.99404762,20.375,43.33482143,126.4508929,34.37946429,126.4508929
29,1.2.10,5:00,4.75,91.58482143,29.2202381,20.73571429,95.68303571,117.8535714,31.54017858,117.8535714
30,1.2.10,6:00,5.535714286,110.3125,32.16666667,22.91785714,108.9821429,171.3428571,25.76785714,171.3428571
31,1.2.10,7:00,6.09375,125.9732143,34.44047618,25.14285714,139.2357143,214.1928571,21.17857143,214.1928571
32,1.2.10,8:00,6.660714286,128.9732143,34.70833333,27.15,146.1571429,223.5357143,21.40625,223.5357143
33,1.2.10,9:00,6.616071429,125.6428571,34.20238095,28.41785714,140.1428571,214.8107143,24.61160714,214.8107143
34,1.2.10,10:00,6.513392857,119.1741071,32.60714285,28.39642857,127.9964286,197.4714286,28.69196429,197.4714286
35,1.2.10,11:00,6.535714286,114.2053571,29.2797619,28.76785714,115.5928571,181.0607143,33.5625,181.0607143
36,1.2.10,12:00,6.616071429,111.7098214,26.98809523,28.725,109.3321429,172.8035714,36.83482143,172.8035714
37,1.2.10,13:00,6.674107143,111.5178571,27.02380952,28.16071429,107.6285714,170.9142857,38.67410714,170.9142857
