,Month,GMT,ss,rpi,nx,oi,AQI
0.1.00,1.1.10,0:00,5,39.10752688,138.7580645,19.16129033,138.7580645
1.1.00,1.1.10,1:00,4.516129033,37.62903225,120.4,21.62096774,120.4
2.1.00,1.1.10,2:00,4.092741935,34.84408602,107.4096774,24.65725806,107.4096774
3.1.00,1.1.10,3:00,4.165322581,34.59139785,103.5612903,25.2016129,103.5612903
4.1.00,1.1.10,4:00,4.302419355,33.9516129,110.1064516,23.875,110.1064516
5.1.00,1.1.10,5:00,4.745967742,35.25268817,137.8677419,19.71774194,137.8677419
6.1.00,1.1.10,6:00,5.608870968,38.01075268,191.316129,14.69354839,191.316129
7.1.00,1.1.10,7:00,6.528225806,38.74193548,234.0064516,12.61693549,234.0064516
8.1.00,1.1.10,8:00,7.012096774,38.90860215,242.5548387,12.78629033,242.5548387
9.1.00,1.1.10,9:00,6.97983871,40.6344086,236.2580645,15.24596774,236.2580645
10.1.00,1.1.10,10:00,6.915322581,40.9516129,223.9096774,18.66532258,223.9096774
11.1.00,1.1.10,11:00,6.870967742,41.05376343,213.0612903,21.15725806,213.0612903
12.1.00,1.1.10,12:00,6.927419355,41.14516128,206.4354839,22.68951613,206.4354839
13.1.00,1.1.10,13:00,6.891129033,41.38172043,203.1903226,23.02016129,203.1903226
14.1.00,1.1.10,14:00,6.870967742,44.06989247,204.9322581,21.91935484,204.9322581
15.1.00,1.1.10,15:00,6.75,42.89247312,214.7709677,18.19758065,214.7709677
16.1.00,1.1.10,16:00,6.637096774,44.39247312,224.5645161,14.38306451,224.5645161
17.1.00,1.1.10,17:00,6.435483871,44.11290323,228.8903226,12.54032258,228.8903226
18.1.00,1.1.10,18:00,6.366935484,45.05376343,224.883871,11.99596774,224.883871
19.1.00,1.1.10,19:00,6.108870968,45.03225807,212.8516129,11.89919355,212.8516129
20.1.00,1.1.10,20:00,5.879032258,44.82795698,190.916129,12.02419355,190.916129
21.1.00,1.1.10,21:00,5.786290323,43.55913978,177.9645161,12.50403226,177.9645161
22.1.00,1.1.10,22:00,5.47983871,42.90860215,169.9387097,13.76209677,169.9387097
23.1.00,1.1.10,23:00,5.028225806,40.65591398,155.3548387,16.63306451,155.3548387
24.1.00,1.2.10,0:00,5.098214286,31.10714285,129.7535714,28.19642858,129.7535714
25.1.00,1.2.10,1:00,4.486607143,30.17857143,112.9642857,30.85714286,112.9642857
26.1.00,1.2.10,2:00,4.446428571,30.16666667,131.5133929,34.66964286,131.5133929
27.1.00,1.2.10,3:00,4.428571429,31.67261905,124.2321429,35.68303571,124.2321429
28.1.00,1.2.10,4:00,4.486607143,29.99404762,126.4508929,34.37946429,126.4508929
29.1.00,1.2.10,5:00,4.75,29.2202381,117.8535714,31.54017858,117.8535714
30.1.00,1.2.10,6:00,5.535714286,32.16666667,171.3428571,25.76785714,171.3428571
31.1.00,1.2.10,7:00,6.09375,34.44047618,214.1928571,21.17857143,214.1928571
1.2.00,1.2.10,8:00,6.660714286,34.70833333,223.5357143,21.40625,223.5357143
2.2.00,1.2.10,9:00,6.616071429,34.20238095,214.8107143,24.61160714,214.8107143
3.2.00,1.2.10,10:00,6.513392857,32.60714285,197.4714286,28.69196429,197.4714286
4.2.00,1.2.10,11:00,6.535714286,29.2797619,181.0607143,33.5625,181.0607143
5.2.00,1.2.10,12:00,6.616071429,26.98809523,172.8035714,36.83482143,172.8035714
6.2.00,1.2.10,13:00,6.674107143,27.02380952,170.9142857,38.67410714,170.9142857
7.2.00,1.2.10,14:00,6.5625,27.05357143,169.0821429,37.93303571,169.0821429
8.2.00,1.2.10,15:00,6.723214286,27.625,172.0964286,36.46875,172.0964286
9.2.00,1.2.10,16:00,6.352678571,26.50595238,174.9285714,33.23214286,174.9285714
10.2.00,1.2.10,17:00,5.852678571,27.35714285,185.8464286,27.04464286,185.8464286
11.2.00,1.2.10,18:00,5.772321429,30.68452382,193.1321429,22.59375,193.1321429
12.2.00,1.2.10,19:00,5.767857143,32.1547619,188.5964286,20.69642858,188.5964286
13.2.00,1.2.10,20:00,5.571428571,32.00595238,171.0785714,23.94642858,171.0785714
14.2.00,1.2.10,21:00,5.491071429,32.50595238,161.1357143,26.6875,161.1357143
15.2.00,1.2.10,22:00,5.3125,32.23809523,153.2285714,29.14732143,153.2285714
16.2.00,1.2.10,23:00,5.258928571,31.51785715,142.4357143,30.58928571,142.4357143
17.2.00,1.3.10,0:00,3.721774194,25.5483871,110.2064516,33.77419355,110.2064516
