Month,GMT,RNXO,RO3,RPM25,RSO2
1.5.15,18:00,112.4903226,1843,11.37419355,3.087096774
1.5.16,21:00,104.7080645,1610,15.70483871,3.712903226
1.11.18,03:00,57.44,512,12.84666667,4.406666667
1.8.12,21:00,110.2935484,833,13.53870968,2.158064516
1.2.14,23:00,83.71428571,1578,9.032142857,2.378571429
1.8.14,03:00,57.38709677,1022,8.525806452,1.961290323
1.2.13,17:00,202.2642857,685,22.18571429,4.117857143
1.6.16,11:00,142.945,1484,12.05333333,6.468333333
1.9.18,14:00,96.26333333,1626,7.87,0.25
1.3.13,23:00,124.9967742,1483,25.71290323,3.012903226
1.2.18,05:00,96.31071429,826,10.53928571,3.567857143
1.3.10,13:00,118.3612903,1304,14.40322581,3.983870968
1.5.12,04:00,86.77096774,1570,19.05483871,1.667741935
1.9.18,17:00,109.39,1494,9.1,0.5
1.5.11,04:00,81.32258065,1379,12.96129032,2.051612903
1.9.17,07:00,180.5333333,71,13.87,2.41
1.5.14,08:00,183.5032258,1318,12.97419355,2.05483871
1.11.12,04:00,102.4933333,603,15.37,1.98
1.9.13,14:00,177.9333333,989,14.84333333,2.98
1.4.15,03:00,70.57333333,1375,14.34666667,-0.023333333
1.8.15,05:00,138.6935484,237,14.72580645,0.590322581
1.9.16,00:00,75.40333333,407,12.21666667,1.803333333
1.6.12,22:00,90.33333333,1457,12.10333333,1.743333333
1.2.13,03:00,72.47142857,1472,17.59642857,2.535714286
1.3.12,20:00,198.2483871,172,33.19354839,3.541935484
1.7.15,05:00,136.3806452,520,12.89677419,6.229032258
1.8.15,12:00,134.0741935,1567,10.94193548,0.567741935
1.1.11,01:00,86.16774194,990,15.6516129,2.083870968
1.7.17,07:00,131.1322581,433,9.512903226,1.325806452
1.3.17,17:00,157.6870968,1469,13.40645161,2.4
1.3.15,19:00,163.116129,786,22.35483871,2.670967742
1.10.12,10:00,185.0483871,547,16.1483871,4.441935484
1.7.14,06:00,151.9258065,308,14.2,3.887096774
1.6.10,11:00,127.0033333,1628,16.18,5.166666667
1.5.17,17:00,122.883871,1755,12.67419355,2.083870968
1.7.12,09:00,163.5645161,972,15.15483871,3.051612903
1.1.15,12:00,193.9419355,743,14.07741935,4.822580645
1.1.10,06:00,171.316129,62,22.80645161,4.487096774
1.4.18,02:00,44.68,1632,17.63,0.803333333
1.12.13,23:00,140.8419355,1040,15.23225806,2.858064516
1.1.13,22:00,167.183871,421,23.13870968,4.270967742
1.8.11,14:00,134.6612903,1376,10.76451613,3.093548387
1.4.14,04:00,110.1766667,559,22.26,2.11
1.5.11,00:00,64.99677419,1760,13.33548387,2.570967742
1.7.15,04:00,86.94193548,790,11.8,5.338709677
1.7.11,21:00,103.8935484,1232,14.46129032,2.358064516
1.8.12,08:00,157,662,13.78709677,2.922580645
1.2.14,15:00,146.2678571,1468,8.407142857,3.178571429
1.1.15,13:00,181.2290323,824,13.3483871,4.348387097
1.9.14,12:00,171.51,1185,20.56333333,6.87
1.5.13,00:00,80.6,1726,14.94193548,3.293548387
1.12.12,11:00,218.9387097,751,14.49677419,4.867741935
1.2.14,16:00,146.2571429,1331,9.110714286,2.914285714
1.4.11,10:00,148.7133333,1657,28.36666667,4.256666667
1.6.11,12:00,128.7133333,1588,12.11,2.92
1.5.16,02:00,53.33870968,1650,12.73387097,3.275806452
1.4.10,11:00,119.7366667,1846,17.14666667,5.28
1.6.16,12:00,139.0516667,1579,12.34666667,6.328333333
1.11.14,08:00,298.1586207,1963,21.27931034,4.920689655
1.9.16,09:00,180.8466667,533,12.73333333,3.316666667
1.3.13,09:00,213.4096774,1479,28.18709677,4.532258065
1.2.10,01:00,92.96428571,844,18.10714286,3.589285714
1.6.18,02:00,38.31666667,1362,10.12333333,2.146666667
1.12.11,05:00,80.55806452,1464,7.206451613,2.119354839
1.11.12,20:00,202.03,104,22.40333333,3.396666667
1.7.10,13:00,120.3774194,1519,12.89354839,3.538709677
1.6.14,21:00,105.6,1339,11.73666667,2.39
1.3.12,06:00,236.8677419,88,33.56129032,3.819354839
1.2.11,04:00,62.17142857,1242,22.89285714,1.821428571
1.8.16,07:00,160.1580645,324,13.11290323,3.012903226
1.1.10,19:00,192.8516129,1956,27.01935484,4.887096774
1.6.12,13:00,129.9433333,1783,12.14,2.253333333
1.5.10,12:00,117.9032258,1791,14.67096774,4.264516129
1.1.12,20:00,161.1354839,293,17.36451613,2.990322581
1.4.17,00:00,74.56666667,1561,12.93333333,2.97
1.11.15,03:00,66.15,1337,10.64666667,1.886666667
1.7.15,10:00,154.5580645,1392,9.735483871,6.474193548
1.2.15,04:00,80.08214286,1087,14.85,4.767857143
1.10.18,18:00,152.4612903,198,14.4,-0.54516129
1.10.16,09:00,203.9,189,16.87419355,5.638709677
1.10.16,00:00,106.3774194,134,16.15483871,4.583870968
1.3.12,16:00,178.3290323,1219,27.79032258,3.396774194
1.3.18,08:00,159.9322581,822,15.71290323,4.487096774
1.8.14,21:00,103.9516129,934,11.63225806,2.909677419
1.10.13,01:00,71.84516129,954,11.22258065,2.348387097
1.2.15,02:00,79.25357143,1111,15.08214286,4.775
1.4.15,11:00,150.6,1616,15.33,1.913333333
1.3.13,19:00,168.9677419,1321,24.14516129,3.190322581
1.2.15,06:00,184.925,216,15.89285714,6.414285714
1.8.18,16:00,97.01935484,1440,7.548387097,1.764516129
1.8.12,13:00,132.4064516,1674,13.59354839,2.593548387
1.9.16,04:00,96.47666667,264,12.54,2.843333333
1.6.10,00:00,74.50333333,975,17.24,3.523333333
1.12.16,15:00,271.7483871,51,23.26129032,5.625806452
1.3.13,05:00,122.6225806,1182,26.55806452,3.203225806
1.7.10,20:00,91.99032258,1280,12.30645161,2.764516129
1.10.15,13:00,178.0258065,1049,17.09677419,0.204
1.6.13,19:00,104.4066667,1552,13.07333333,1.62
1.7.16,13:00,137.016129,1276,10.47741935,2.638709677
1.5.15,09:00,140.7,1691,9.967741935,3.425806452
1.10.10,19:00,150.2774194,196,17.46774194,3.267741935
1.9.16,16:00,163.0166667,1178,12.54666667,2.16
1.7.14,01:00,55.50322581,1077,11.67741935,2.458064516
1.6.18,21:00,73.83,1471,11.11333333,2.03
1.6.18,18:00,83.92666667,1808,10.43,2.583333333
1.8.12,20:00,107.4483871,1044,13.69032258,2.309677419
1.4.18,10:00,124.2566667,1559,15.06,1.262068966
1.7.10,02:00,50.55483871,1053,11.0516129,2.432258065
1.1.12,16:00,199.9677419,194,15.73548387,3.341935484
1.1.14,10:00,214.0774194,754,11.44516129,2.429032258
1.11.16,14:00,203.37,440,12.25,5.82
1.2.18,22:00,112.4285714,821,13.56785714,2.335714286
1.6.13,02:00,49.61,1441,11.56,1.096666667
1.7.16,23:00,81.66774194,610,10.9516129,2.019354839
1.1.12,04:00,80.06129032,1164,13.7516129,1.8
1.10.10,15:00,149.2935484,798,14.80322581,3.777419355
1.7.18,21:00,77.1516129,1627,11.4483871,-2.103225806
1.7.11,02:00,53.61612903,1190,11.58387097,1.687096774
1.3.15,20:00,141.8225806,884,22.95483871,2.732258065
1.12.11,16:00,176.9903226,493,10.49677419,3.322580645
1.11.12,18:00,252.29,5,19.7,4.04
1.10.14,22:00,127.2193548,468,13.47096774,3.335483871
1.1.13,13:00,219.1129032,545,20.09354839,4.683870968
1.12.15,15:00,164.2483871,1159,12.66774194,2.096774194
1.3.18,20:00,122.316129,877,17.98064516,3.95483871
1.8.11,23:00,91.27419355,417,11.26451613,2.419354839
1.3.12,07:00,270.9290323,94,34.45806452,4.848387097
1.1.14,11:00,190.1483871,914,11.4483871,2.193548387
1.3.18,11:00,128.5129032,1430,14.17419355,4.070967742
1.7.14,02:00,50.16774194,1076,11.55483871,2.135483871
1.6.16,23:00,81.42,1123,12.74833333,5.636666667
1.3.17,07:00,183.7096774,731,14.84193548,3.112903226
1.4.13,12:00,137.8033333,1911,16.50666667,2.606666667
1.2.17,20:00,143.9035714,864,20.31428571,4.953571429
1.4.16,00:00,85.41,1262,12.49,5.4
1.7.15,09:00,158.9870968,1212,10.38709677,6.712903226
1.2.16,11:00,170.862069,1162,11.80344828,4.210344828
1.4.18,03:00,50.02,1549,18.00333333,1.013333333
1.7.15,15:00,141.6322581,1810,10.2,5.9
1.8.15,18:00,130.4032258,1461,13.07419355,0.525806452
1.5.17,14:00,124.8387097,1750,11.96451613,2.383870968
1.1.10,14:00,184.9322581,316,26.44193548,5.496774194
1.6.11,07:00,149.69,700,13.24333333,3.016666667
1.1.15,16:00,195.6032258,390,14.07096774,4.138709677
1.10.15,01:00,77.32903226,443,15.82258065,-0.764
1.10.16,19:00,185.5806452,26,20.33225806,4.774193548
1.2.17,09:00,215.7,364,20.96785714,6.317857143
1.9.13,07:00,256.2566667,1930,19.54333333,4.323333333
1.3.15,12:00,152.4322581,1403,18.71612903,3.382758621
1.10.12,00:00,85.99677419,641,13.54193548,2.703225806
1.11.13,17:00,231.58,1959,15.83,4.706666667
1.4.18,11:00,118.02,1655,14.23666667,1.186666667
1.5.12,13:00,145.0967742,1886,18.04193548,2.512903226
1.10.11,22:00,124.7870968,525,15.31612903,2.477419355
1.7.13,19:00,101.0709677,1732,15.73548387,2.558064516
1.8.17,15:00,114.8935484,1443,8.835483871,0.583870968
1.6.18,14:00,96.08666667,1847,10.65,3.023333333
1.12.17,18:00,185.0451613,242,11.80322581,5.864516129
1.12.12,09:00,231.5548387,570,14.85806452,4.983870968
1.7.14,12:00,135.4806452,1590,13.07741935,3.874193548
1.9.14,05:00,175.6666667,1961,28.59333333,4.46
1.6.10,08:00,151.96,869,19.16333333,5.56
1.7.12,14:00,142.8193548,1733,13.3516129,2.274193548
1.9.12,17:00,153.92,1261,11.39,2.763333333
1.12.12,00:00,140.583871,976,14.07096774,3.351612903
1.7.17,15:00,121.6322581,1586,10.02580645,0.980645161
1.3.18,16:00,125.1774194,1374,13.96451613,3.922580645
